state,genre,artist,homegrown
Alabama,Country,Kevin Gates,Alabama
Alaska,Country,Eminem,Portugal. The Man
Arizona,Metal,Drake,Alice Cooper
Arkansas,Country,Kevin Gates,Evanescence
California,Pop,Drake,The Grateful Dead
Colorado,Indie,Drake,OneRepublic
Connecticut,Metal,Drake,The Carpenters
Delaware,Classic Rock,Drake,George Thorogood and the Destroyers
Florida,Alternative,Drake,Tom Petty and the Heartbreakers
Georgia,Classic Rock,Future,OutKast
Hawaii,Rhythm and Blue,Bruno Mars,Pepper
Idaho,Country,Eminem,Built to Spill
Illinois,Classic Rock,Drake,Earth Wind & Fire
Indiana,Classic Rock,Drake,Jackson 5
Iowa,Indie,Drake,Slipknot
Kansas,Metal,Drake,Kansas
Kentucky,Classic Rock,Kevin Gates,My Morning Jacket
Louisiana,Classic Rock,Kevin Gates,The Neville Brothers
Maine,Alternative,Eminem,Rustic Overtones
Maryland,Indie,Drake,The Orioles
Massachusetts,Indie,Drake,Aerosmith
Michigan,Classic Rock,Drake,The Temptations
Minnesota,Indie,Drake,Prince and the Revolution
Mississippi,Classic Rock,Kevin Gates,3 Doors Down
Missouri,Classic Rock,Drake,Ike & Tina Turner
Montana,Alternative,Eminem,Silkworm
Nebraska,Country,Drake,Bright Eyes
Nevada,Electronic,Drake,Imagine Dragons
New Hampshire,Country,Eminem,Aerosmith
New Jersey,Classic Rock,Drake,Bruce Springsteen and the E Street Band
New Mexico,Alternative,Drake,The Shins
New York,Classic Rock,Drake,The Ramones
North Carolina,Indie,Drake,The Charlie Daniels Band
North Dakota,Metal,Eminem,Bobby Vee & The Strangers
Ohio,Country,Drake,The Isley Brothers
Oklahoma,Metal,Drake,The Flaming Lips
Oregon,Alternative,Drake,The Decemberists
Pennsylvania,Country,Drake,Hall & Oates
Rhode Island,Indie,Drake,Talking Heads
South Carolina,Classic Rock,Kevin Gates,Hootie and the Blowfish
South Dakota,Metal,Eminem,The Spill Canvas
Tennessee,Indie,Kevin Gates,Johnny Cash and the Tennessee Three
Texas,Latin,Drake,ZZ Top
Utah,Country,Eminem,The Osmonds
Vermont,Indie,Eminem,Phish
Virginia,Country,Drake,Dave Matthews Band
Washington,Indie,Drake,Nirvana
West Virginia,Country,Drake,Asleep at the Wheel
Wisconsin,Country,Drake,Violent Femmes
Wyoming,Indie,Eminem,Teenage Bottlerocket
